NameOfWine, WineName,WineLWIN,WineYear,WineYear1,WinePrice,WinePrice1
Chateau De La Maltroye Chassagne Montrachet La Boudriotte Premier Cru - 2017,Boudriotte,1078972.0,2017,2017,100.0,£ 408
Domaine Blain Gagnard Chassagne Montrachet La Boudriotte Premier Cru - 2017,Boudriotte,1078972.0,2017,2017,100.0,£ 775
Domaine Bruno Colin La Boudriotte Chassagne-Montrachet Premier Cru - 2017,Boudriotte,1078972.0,2017,2017,100.0,£ 594
Domaine Fontaine-Gagnard Chassagne Montrachet La Boudriotte Premier Cru - 2017,Boudriotte,1078972.0,2017,2017,100.0,£ 503
Domaine Gagnard Delagrange Chassagne Montrachet La Boudriotte Premier Cru - 2017,Boudriotte,1078972.0,2017,2017,100.0,£ 468
Domaine Jean-Claude Bachelet Chassagne Montrachet La Boudriotte Premier Cru - 2017,Boudriotte,1078972.0,2017,2017,100.0,£ 597
Domaine Jean-Claude Bachelet Chassagne Montrachet La Boudriotte Rouge Premier Cru - 2017,Boudriotte,1078972.0,2017,2017,100.0,£ 540
Domaine Jean-Noel Gagnard Chassagne-Montrachet La Boudriotte Premier Cru - 2017,Boudriotte,1078972.0,2017,2017,100.0,£ 639
Domaine Lamy-Pillot Chassagne Montrachet La Boudriotte Premier Cru - 2017,Boudriotte,1078972.0,2017,2017,100.0,
Domaine Ramonet Chassagne-Montrachet La Boudriotte Premier Cru - 2017,Boudriotte,1078972.0,2017,2017,100.0,"£ 1,340"
Bouchard Pere et Fils Meursault Les Clous - 2015,Clous,1230682.0,2015,2015,650.0,£ 334
Domaine A&P de Villaine Bourgogne Cote Chalonnaise Les Clous - 2015,Clous,1230682.0,2015,2015,650.0,£ 193
Domaine d'Ardhuy Savigny Les Beaunes Aux Clous Premier Cru - 2015,Clous,1230682.0,2015,2015,650.0,£ 190
Domaine De Villaine Bourgogne Cote Chalonnaise Les Clous Aime - 2015,Clous,1230682.0,2015,2015,650.0,£ 193
Domaine Lebreuil Aux Clous Savigny les Beaune Premier Cru - 2015,Clous,1230682.0,2015,2015,650.0,£ 504
Domaine Prieure Roch Vosne-Romanee Les Clous - 2015,Clous,1230682.0,2015,2015,650.0,"£ 4,656"
Domaine Seguin-Manuel Meursault Les Clous - 2015,Clous,1230682.0,2015,2015,650.0,£ 360
Louis Chenu Pere & Filles Aux Clous Savigny-les-Beaune Premier Cru - 2015,Clous,1230682.0,2015,2015,650.0,£ 264
Olivier Leflaive Les Clous Rully Premier Cru - 2015,Clous,1230682.0,2015,2015,650.0,£ 252
Patrick Javillier Meursault Les Clousots - 2015,Clous,1230682.0,2015,2015,650.0,£ 445
Alain Jeanniard Morey-Saint-Denis Vieilles Vignes - 2017,Vieilles Vignes,1025253.0,2017,2017,33.33,£ 348
Albert Boxler Riesling Sommerberg Vieilles Vignes Lot D Sommerberg Grand Cru - 2017,Vieilles Vignes,1025253.0,2017,2017,33.33,£ 523
Alex Gambal Vosne-Romanee Vieilles Vignes - 2017,Vieilles Vignes,1025253.0,2017,2017,33.33,£ 660
Bruno Desaunay-Bissey Grands-Echezeaux Grand Cru Vieilles Vignes - 2017,Vieilles Vignes,1025253.0,2017,2017,33.33,
Bruno Desaunay-Bissey Les Beaux Monts Vieilles Vignes Vosne Romanee Premier Cru - 2017,Vieilles Vignes,1025253.0,2017,2017,33.33,
Bruno Desaunay-Bissey Vosne Romanee Vieilles Vignes - 2017,Vieilles Vignes,1025253.0,2017,2017,33.33,£ 540
Cave des Vignerons de Buxy Montagny Vieilles Vignes Blanc - 2017,Vieilles Vignes,1025253.0,2017,2017,33.33,£ 132
Chateau Bouscasse Madiran Vieilles Vignes - 2017,Vieilles Vignes,1025253.0,2017,2017,33.33,£ 193
